epoch,lr,loss,iou,val_loss,val_iou,val_dice
0,0.0001,1.098805823287026,0.1653563025167795,1.0853624411714755,0.053299038566721524,0.0993884069176943
1,0.0001,1.0269741367121212,0.26101493827752753,1.0164308024615776,0.2532537099912816,0.4006280948260648
2,0.0001,0.9898324647887808,0.3079899107056981,0.9754216796983548,0.3051450223265179,0.46123899526584744
3,0.0001,0.973146065336759,0.320681389311072,0.9514529511211364,0.33845514129285753,0.5007584360760053
4,0.0001,0.9533298015594482,0.3500001475287282,0.9422359078880248,0.3676108310479073,0.5343859532263981
5,0.0001,0.9421481832129056,0.3572808884526079,0.9327422511286851,0.3371320660782971,0.501203037128731
6,0.0001,0.9294777375752808,0.3634477544282766,0.8953694536433956,0.37165888855557166,0.538833748630674
7,0.0001,0.9170852762753846,0.37036137335849045,0.9749862362698811,0.2972451378265153,0.454781597459774
8,0.0001,0.911677936061484,0.364014853467412,0.8913648293270329,0.3726631459335537,0.5409060776850937
9,0.0001,0.8944073378062639,0.38158747524605785,0.8728540467052925,0.390672843299422,0.5557028157027747
10,0.0001,0.8849142770298192,0.3909102054719139,0.8794617885496558,0.3861294553716874,0.5536763177298549
11,0.0001,0.8720419621858441,0.3956205169987913,0.866419783452662,0.3748907233842778,0.5434859877188479
12,0.0001,0.8517099296460386,0.42524563575714086,0.8919635473228082,0.35046070397603596,0.5166702778245704
13,0.0001,0.8431886913346462,0.41861153996352235,0.9371103242160829,0.30151594211645977,0.4608018945166508
14,0.0001,0.8296301990258889,0.4289762922280367,0.848142748925744,0.3963372117690367,0.5659466116674686
15,0.0001,0.8132225871086121,0.4395554165660861,0.845964607669086,0.42653413518212124,0.5955423486561485
16,0.0001,0.7968824642603515,0.45527337294677717,0.7809556364043941,0.46241986110014827,0.6286829739711632
17,0.0001,0.7897796054355434,0.4443179911295408,0.7585363106998971,0.4798940068489817,0.6415031539103757
18,0.0001,0.7613630451139857,0.4750883392241674,0.8833209906167131,0.3293129977771295,0.49327321515472666
19,0.0001,0.7543784848979262,0.47301374972942,0.7524919897560182,0.47772230203770905,0.6399631134730934
20,0.0001,0.7403916061901655,0.478729781059437,0.8405603722828191,0.36432140295676624,0.5302580176218804
