epoch,lr,loss,iou,val_loss,val_iou,val_dice
0,0.0001,1.0421091261364164,0.2550924051762107,1.1075745480401176,2.0817220399872097e-10,4.163444077325539e-10
1,0.0001,0.9569538320813861,0.4054794957372404,1.0922628073465257,0.004654534314934113,0.009239989060610986
2,0.0001,0.914473397391183,0.43849397316463024,1.042142147109622,0.0009116646961789728,0.0018202564710436612
3,0.0001,0.8906471104848952,0.45704607297685423,0.9908367906297956,0.18731253797574077,0.3112032736913152
4,0.0001,0.8635250897634597,0.47717183655213946,0.9014024110067458,0.4179988426581625,0.5866520728014178
5,0.0001,0.8539011421657744,0.4787626269264221,0.9572433346793765,0.3550335073413076,0.5215468362579972
6,0.0001,0.8373031190463475,0.48694628299166176,0.8737283093588692,0.4348870164671109,0.6025154605495009
7,0.0001,0.8290187631334577,0.5107610993963003,0.8692207449958438,0.4671090684959295,0.6306237452742043
8,0.0001,0.8134141252154395,0.5241937932082945,0.8464938288643247,0.48574439113701035,0.6490562977595277
9,0.0001,0.8131961226463318,0.5117211239602917,0.8221576923415774,0.5161520917141891,0.6760189797536045
10,0.0001,0.801345495950608,0.530828077914809,0.8019919849577404,0.529367680448698,0.6873650714416284
11,0.0001,0.788308112394242,0.5561628016092408,0.8057569208599272,0.5275468801191878,0.684772938167737
12,0.0001,0.7834167622384571,0.539826568261376,0.8245556297756377,0.47267885421172096,0.6344400764229317
13,0.0001,0.7779557676542372,0.5525077922814321,0.8187181154886881,0.497025444457162,0.6585526622941812
14,0.0001,0.7778436711856297,0.5497656725204869,0.8132456086930775,0.5057793102856147,0.6656162899062948
15,0.0001,0.7725447075707572,0.5528962571503081,0.7960675018174308,0.5100432737042039,0.671395935387624
16,0.0001,0.7692752111525762,0.5498517366337229,0.7936363418896993,0.51793008450165,0.6778970878689847
17,0.0001,0.7663827055976504,0.5473784281807885,0.7840922389711652,0.5176293578744566,0.6764432387901431
18,0.0001,0.7613177668480646,0.5482570924519264,0.8426149090131124,0.4472747588967111,0.6107873351869986
19,0.0001,0.7519626333599999,0.5567285682644489,0.7672786485581171,0.5385479395817648,0.6944544602979114
20,0.0001,0.7504380600793021,0.5449110119782828,0.8217143416404724,0.45771531905460316,0.6220627435988326
21,0.0001,0.7510772375833421,0.5392099799455872,0.7897464973585946,0.4922943092737802,0.6562297870362012
22,0.0001,0.7314135886373974,0.5701651259688497,0.7651957046417963,0.5187099351701214,0.6787857470392307
23,0.0001,0.7259255250295004,0.5800784008156602,0.8139669043677193,0.4563470822767665,0.6246912567463584
24,0.0001,0.7271383206049601,0.5762878730936961,0.7435185199692136,0.5532865167441932,0.7094538719124635
25,0.0001,0.7209646928878057,0.5831535239847739,0.7726791813260033,0.516151568575176,0.6764073249919694
26,0.0001,0.7086104892549061,0.5888955459884893,0.7322434839748201,0.5658003538475936,0.7172866833011249
27,0.0001,0.7112946340015956,0.5805612012560839,0.7704521701449439,0.5033286597961549,0.664920216336233
28,0.0001,0.7041911539577302,0.5795186520714942,0.7894618397667295,0.49879425652841275,0.6616325137024882
29,0.0001,0.6943630150386265,0.5849702089872848,0.7314113946188063,0.5331818053381072,0.6915371301215368
30,0.0001,0.6869660105024066,0.607142390174224,0.7437213744435992,0.5187683059497187,0.6803130653454454
31,0.0001,0.6916659105391729,0.5868343028941746,0.7350347155616397,0.5436282413843513,0.7024925774448649
32,0.0001,0.681604578381493,0.6011775047692823,0.7361337201935905,0.5149998327254229,0.6744252156548892
33,0.0001,0.67728172597431,0.5997970204546267,0.7208336080823626,0.5524523788323076,0.7064046667270925
34,0.0001,0.6742105739457267,0.5876391717301551,0.7662247703188941,0.47902981503727726,0.6455858429556672
35,0.0001,0.6527436659449622,0.6323668445809353,0.7208429943947565,0.5623592985213519,0.7177632323958875
36,0.0001,0.6673130109196618,0.5971054606245364,0.7141705467587426,0.5341370724178347,0.6886240876892352
37,0.0001,0.6655365853082567,0.5998038396520652,0.7279383171172369,0.5203003644417348,0.6813958292806865
38,0.0001,0.6609108930542356,0.583464380980285,0.6886964922859555,0.564875017992866,0.7185814873983088
39,0.0001,0.652706884202503,0.5971818304101426,0.6780368259974888,0.5756027102669999,0.7296210863577425
40,0.0001,0.6539663473765055,0.5950526926656071,0.6794621802511669,0.5504708120401636,0.7075534016513629
41,0.0001,0.6402358895256406,0.6069770124013211,0.6894154832476661,0.5552013053681838,0.7103608306484491
42,0.0001,0.6281969291823251,0.6304580202799702,0.7496785180909293,0.504313999504537,0.6653628920957291
43,0.0001,0.643352869011107,0.5901474514186132,0.7163001753035045,0.5170673562653161,0.6757535380650672
44,0.0001,0.6301735639572144,0.6202703488643421,0.6496171951293945,0.5945120916491305,0.7418397054462654
45,0.0001,0.6212671796480814,0.6291156833331597,0.6587020527748835,0.5638332180916972,0.7176507454529794
46,0.0001,0.6262414654095968,0.607368546068731,0.6826422129358564,0.563935774592983,0.7169259883588139
47,0.0001,0.6157572468121847,0.6255781370684035,0.7139232073511396,0.5224441580531476,0.6826895179046006
48,0.0001,0.6031117467653184,0.6418464539253546,0.6860193723724002,0.5230565667262818,0.6819117021783297
49,0.0001,0.6108442913918268,0.6132042615690105,0.6712345197087243,0.5371265082607115,0.6918821744072357
50,0.0001,0.6105767233031136,0.6133219082104778,0.6637033791769118,0.537852208066455,0.6938323495736529
51,0.0001,0.5958922235738664,0.6314416147482942,0.6513943104516893,0.5447551103343804,0.7016526087136439
52,0.0001,0.5987031204359872,0.6270682382155189,0.6672485811369759,0.5214061311135596,0.681986323624969
53,0.0001,0.5797292093435923,0.6500301709806927,0.6591288362230573,0.5511643756138016,0.7074930007950726
